"","LocID","Location","Covid_JHU_Q2","Covid_JHU_Q3","Covid_JHU_Q4","Covid_JHU_Q1","Covid_WHO_Q1"
"1","ABW","Aruba",3,27,49,85,0
"2","AFG","Afghanistan",807,1458,2191,2476,4
"3","AGO","Angola",17,185,405,536,2
"4","AIA","Anguilla",0,0,0,0,0
"5","ALB","Albania",69,388,1181,2227,13
"6","AND","Andorra",52,53,84,115,12
"7","ARE","United Arab Emirates",317,421,669,1492,6
"8","ARG","Argentina",1385,20288,43245,55736,24
"9","ARM","Armenia",459,963,2823,3497,3
"10","ATG","Antigua and Barbuda",3,3,5,28,0
"11","AUS","Australia",104,890,909,909,20
"12","AUT","Austria",705,802,6222,9308,128
"13","AZE","Azerbaijan",228,593,2641,3538,5
"14","BDI","Burundi",1,1,2,6,0
"15","BEL","Belgium",9761,10023,19528,22966,705
"16","BEN","Benin",21,41,44,90,0
"17","BES","Bonaire, Sint Eustatius and Saba",0,1,3,3,0
"18","BFA","Burkina Faso",53,58,85,146,14
"19","BGD","Bangladesh",1926,5272,7559,8994,6
"20","BGR","Bulgaria",232,825,7576,13068,8
"21","BHR","Bahrain",94,254,352,517,4
"22","BHS","Bahamas",11,96,170,188,0
"23","BIH","Bosnia and Herzegovina",189,861,4050,6519,12
"24","BLM","Saint Barthelemy",0,0,1,1,0
"25","BLR","Belarus",405,839,1424,2237,0
"26","BLZ","Belize",2,27,248,317,0
"27","BMU","Bermuda",9,9,10,12,0
"28","BOL","Bolivia (Plurinational State of)",1271,8001,9165,12239,6
"29","BR11","Rondonia",530,1367,1817,4085,0
"30","BR12","Acre",378,661,795,1253,0
"31","BR13","Amazonas",2862,4159,5285,11997,0
"32","BR14","Roraima",354,654,781,1320,0
"33","BR15","Para",5004,6582,7188,10375,0
"34","BR16","Amapa",427,712,925,1292,0
"35","BR17","Tocantins",209,948,1234,2007,0
"36","BR21","Maranhao",2119,3766,4500,6031,0
"37","BR22","Piaui",697,2127,2837,4066,0
