"","LocID","Location","Time","PopM.0","PopM.1-4","PopM.5-14","PopM.15-24","PopM.25-34","PopM.35-44","PopM.45-54","PopM.55-64","PopM.65-74","PopM.75-84","PopM.85+","PopF.0","PopF.1-4","PopF.5-14","PopF.15-24","PopF.25-34","PopF.35-44","PopF.45-54","PopF.55-64","PopF.65-74","PopF.75-84","PopF.85+"
"128","ABW","Aruba","2020",0.714,2.393,6.337,7.457,6.544,5.723,7.216,7.676,4.581,1.707,0.294,0.683,2.29,6.14,7.318,6.295,6.837,8.457,9.093,5.769,2.58,0.662
"1","AFG","Afghanistan","2020",597.969,2309.437,5426.294,4395.22,2909.917,1936.187,1206.414,716.46,355.891,110.012,12.464,571.037,2194.066,5182.043,4160.71,2677.728,1778.923,1130.681,704.017,401.418,133.597,17.856
"4","AGO","Angola","2020",609.781,2313.733,4734.839,3176.069,2191.725,1454.614,897.114,561.873,240.361,71.905,8.856,601.338,2270.152,4718.586,3239.015,2272.503,1535.053,972.138,597.485,276.081,107.248,15.799
"2","ALB","Albania","2020",16.388,70.176,174.689,223.592,251.95,166.554,168.768,189.818,122.279,67.156,13.344,14.786,64.928,155.046,204.361,216.297,152.805,185.926,198.547,129.636,73.256,17.498
"182","ARE","United Arab Emirates","2020",47.388,207.457,492.613,687.855,2404.371,1644.833,869.785,398.962,61.007,19.023,3.055,45.606,198.687,473.421,417.43,824.965,644.756,278.904,128.316,31.994,7.76,2.212
"7","ARG","Argentina","2020",377.382,1526.044,3720.35,3562.498,3433.954,3068.453,2381.738,1880.458,1324.627,613.966,159.676,363.261,1469.964,3586.729,3454.286,3405.275,3143.88,2557.836,2126.484,1657.605,984.132,397.179
"13","ARM","Armenia","2020",20.245,87.638,219.531,184.158,237.474,195.221,143.508,169.453,88.388,36.978,11.153,18.48,78.624,192.794,162.816,262.144,232.3,182.076,227.026,127.276,64.676,21.275
"5","ATG","Antigua and Barbuda","2020",0.727,3.003,7.113,7.39,7.018,6.515,6.329,4.953,2.741,1.159,0.321,0.709,2.916,6.929,7.242,7.363,7.429,7.414,5.738,3.145,1.364,0.41
"8","AUS","Australia","2020",174.039,683.46,1666.872,1588.697,1849.29,1731.959,1600.47,1461.112,1129.399,607.084,206.243,164.563,647.645,1582.969,1525.777,1807.057,1739.635,1635.203,1506.825,1186.641,678.858,326.083
"9","AUT","Austria","2020",47.116,183.248,438.791,496.765,627.893,599.057,662.555,631.508,401.292,275.649,75.817,44.887,172.915,411.063,464.366,599.097,589.669,663.469,644.412,456.953,367.728,152.15
"6","AZE","Azerbaijan","2020",74.412,361.487,834.574,719.372,916.304,739.839,593.306,538.532,203.364,68.647,14.827,68.311,321.188,724.287,636.992,914.78,749.832,651.741,610.681,256.397,109.873,30.429
"26","BDI","Burundi","2020",213.711,823.709,1672.933,1128.09,921.755,548.227,262.256,203.629,95.915,25.81,3.829,209.122,807.298,1654.034,1131.612,940.225,562.856,298.459,229.848,112.795,37.815,6.853
"15","BEL","Belgium","2020",62.716,263.625,691.149,666.996,747.425,760.107,797.721,771.546,566.694,303.701,112.655,59.604,247.708,649.37,631.488,727.153,749.261,764.644,767.61,622.873,400.938,224.632
"48","BEN","Benin","2020",203.44,765.08,1610.701,1217.081,866.807,587.806,392.413,240.099,120.68,44.157,5.984,197.236,742.573,1565.991,1190.17,864.445,602.049,413.872,265.983,150.958,64.952,10.721
"195","BFA","Burkina Faso","2020",371.932,1394.948,2953.122,2150.894,1464.184,989.75,593.875,327.481,148.556,45.985,3.986,358.876,1346.726,2849.242,2075.885,1444.352,1010.965,653.79,413.272,221.5,76.364,7.593
"12","BGD","Bangladesh","2020",1456.257,5863.936,15184.393,15717.764,14036.647,11824.697,8983.111,5851.35,2696.507,1342.783,301.663,1392.858,5615.128,14549.316,15106.606,14252.249,12149.132,8747.669,5349.947,2457.1,1417.217,393.053
"24","BGR","Bulgaria","2020",33.111,127.676,363.409,317.713,449.721,523.611,510.992,450.013,375.569,177.32,44.986,31.341,120.602,343.856,297.022,421.568,487.805,492.879,485.439,504.325,300.287,89.2
"11","BHR","Bahrain","2020",8.787,45.821,104.636,101.353,366.655,261.335,125.423,61.777,18.65,5.204,0.833,10.66,42.786,98.399,79.232,141.792,101.223,64.189,42.397,13.76,5.613,1.058
"10","BHS","Bahamas","2020",3.034,10.862,29.308,32.896,30.413,26.307,25.904,19.094,8.901,3.659,0.715,2.957,10.211,28.575,33.102,30.674,28.712,28.584,22.143,10.968,5.15,1.079
"18","BIH","Bosnia and Herzegovina","2020",12.808,55.878,176.098,195.692,206.796,234.902,229.287,244.18,165.966,71.157,13.845,11.97,52.598,167.1,185.511,196.693,227.901,228.986,266.631,199.29,112.428,25.098
"27","BLR","Belarus","2020",44.724,232.676,555.857,446.592,750.545,681.712,576.977,628.256,324.71,128.947,28.371,45.881,224.84,525.118,422.507,715.8,687.252,648.053,790.309,523.046,345.839,121.309
"21","BLZ","Belize","2020",4.013,15.972,38.928,39.657,33.745,24.32,18.68,12.356,6.324,2.808,0.958,3.864,15.597,37.729,39.537,34.836,26.347,19.704,12.423,6.059,2.747,1.017
"17","BOL","Bolivia (Plurinational State of)","2020",121.122,484.842,1195.095,1120.715,931.422,718.371,520.679,361.767,241.327,124.105,38.574,115.748,463.787,1145.005,1081.158,913.868,717.668,530.341,377.454,263.24,149.302,57.439
"20","BRA","Brazil","2020",1468.3,5936.346,15088.226,16938.867,17105.688,16298.25,12892.572,9931.736,5745.946,2402.447,627.405,1402.62,5667.827,14456.033,16431.186,16994.813,16691.918,13731.053,11134.693,6992.176,3406.893,1214.414
"14","BRB","Barbados","2020",1.599,6.087,16.798,19.286,18.422,18.494,19.142,17.993,12.422,6.177,2.664,1.552,5.882,16.247,18.448,18.488,19.333,20.756,20.848,14.5,8.197,4.036
"23","BRN","Brunei Darussalam","2020",2.737,13.515,34.043,35.876,38.357,39.37,30.789,20.404,8.574,2.678,0.644,2.639,12.781,31.949,33.099,34.28,34.697,29.566,19.011,8.964,2.855,0.655
"16","BTN","Bhutan","2020",6.833,25.63,65.101,75.186,84.788,62.291,39.306,24.706,15.637,8.398,2.211,6.619,24.773,63.135,68.852,69.936,50.947,33.412,22.222,12.722,6.763,2.144
"19","BWA","Botswana","2020",27.059,110.487,259.715,216.863,188.462,152.342,89.792,51.896,31.045,10.312,1.126,26.351,107.878,254.043,212.382,197.563,174.766,102.505,73.415,43.667,17.078,2.878
"32","CAF","Central African Republic","2020",77.274,294.791,685.522,540.777,317.435,202.125,138.549,84.145,39.734,12.631,1.059,75.878,290.299,679.199,539.248,316.911,205.031,147.061,100.376,56.058,22.671,2.99
"30","CAN","Canada","2020",205.847,815.078,2025.995,2225.514,2705.497,2546.124,2405.654,2656.013,1914.823,924.229,307.404,195.681,776.526,1934.795,2126.274,2654.015,2569.481,2401.184,2665.505,2028.209,1116.191,542.118
"175","CHE","Switzerland","2020",46.024,185.256,432.433,463.037,583.036,599.282,641.39,594.679,417.698,250.172,80.641,44.143,176.406,410.352,446.347,570.079,593.225,631.099,585.01,445.433,309.102,149.774
"191","CHI","Channel Islands","2020",0.879,3.587,8.823,10.141,11.727,11.965,13.375,11.336,8.272,4.548,1.417,0.763,3.473,8.508,9.606,11.384,11.768,13.63,11.747,8.765,5.375,2.77
"35","CHL","Chile","2020",109.084,482.776,1279.575,1344.537,1594.122,1370.054,1216.777,1017.938,639.945,283.485,87.376,104.926,465.437,1235.918,1302.614,1544.328,1353.625,1252.126,1102.037,750.842,402.602,176.085
"36","CHN","China","2020",8520.197,35936.135,91670.067,90376.987,117966.071,100634.866,123521.369,88875.33,57951.951,19090.905,3703.462,7593.084,31883.021,79327.867,79123.039,108761.902,95730.735,119761.63,87379.3,61147.504,23635.128,6733.224
"89","CIV","Côte d'Ivoire","2020",438.303,1640.072,3423.515,2717.721,1923.68,1316.887,868.778,571.205,300.455,92.469,7.295,432.138,1620.687,3394.504,2726.685,1939.905,1299.553,801.998,502.269,261.478,89.631,9.047
"29","CMR","Cameroon","2020",431.09,1646.732,3554.502,2649.926,1997.619,1372.781,829.228,473.302,239.328,75.611,6.956,422.672,1615.209,3496.03,2626.322,1994.988,1369.478,838.511,506.444,283.483,104,11.652
"42","COD","Democratic Republic of the Congo","2020",1687.113,6304.782,12694.224,8629.815,5875.935,3992.4,2653.901,1646.386,877.66,308.567,39.389,1652.055,6183.489,12493.153,8572.408,5904.521,4058.089,2744.277,1765.291,1010.78,403.634,63.535
"41","COG","Congo","2020",84.285,331.097,733.633,526.829,376.646,309.537,214.899,114.172,49.651,14.636,1.293,82.371,324.206,721.74,522.405,375.171,310.239,216.369,122.041,61.662,22.593,2.617
"38","COL","Colombia","2020",384.117,1514.805,3872.472,4413.39,4267.119,3498.034,2793.306,2196.817,1309.627,564.625,170.252,366.251,1445.526,3704.469,4254.467,4215.283,3676.527,3144.877,2525.148,1562.917,743.769,259.086
"39","COM","Comoros","2020",12.837,50.076,109.797,85.919,68.339,48.542,31.186,19.653,9.024,2.914,0.366,12.352,48.243,106.009,83.253,66.597,47.821,31.321,20.645,10.243,3.849,0.609
"31","CPV","Cabo Verde","2020",5.064,21.251,52.719,47.881,54.41,43.066,28.073,17.111,6.063,2.677,0.802,4.958,20.659,51.478,46.962,50.009,38.471,26.306,20.958,9.627,5.544,1.899
"43","CRI","Costa Rica","2020",34.565,143.534,364.753,389.815,433.512,373.234,298.862,264.603,151.923,69.039,21.236,32.963,136.94,348.249,373.847,421.294,370.076,308.406,277.157,165.418,83.096,31.592
"45","CUB","Cuba","2020",51.908,241.592,633.141,690.788,795.81,664.63,963.369,762.698,476.514,262.168,80.85,49.073,228.71,598.855,653.309,754.982,645.006,979.443,813.117,539.643,322.474,118.536
"127","CUW","Curaçao","2020",0.803,3.796,10.639,10.529,9.188,8.081,10.02,10.403,7.43,3.51,1.07,0.779,3.618,10.193,10.049,10.177,10.55,12.664,13.618,9.828,5.224,1.931
"46","CYP","Cyprus","2020",6.355,27.031,69.678,88.051,101.779,87.615,75.934,67.713,48.681,24.853,5.824,5.977,25.454,65.653,79.313,93.017,91.555,79.239,69.032,52.575,31.155,10.877
"47","CZE","Czechia","2020",60.34,226.816,579.384,491.148,691.4,869.64,797.595,642.333,587.847,260.553,65.466,57.113,214.541,549.065,467.967,659.458,822.061,764.349,658.662,705.823,393.234,144.187
"67","DEU","Germany","2020",429.863,1652.48,3949.685,4532.717,5344.642,5326.257,5960.603,6247.912,4082.197,2991.003,898.552,408.54,1567.796,3684.185,4139.69,4921.148,5163.565,5904.302,6379.963,4575.065,3905.682,1718.098
"62","DJI","Djibouti","2020",10,40.198,98.161,98.693,92.051,74.306,51.086,32.126,15.632,5.889,0.851,8.87,40.094,88.33,82.292,81.36,68.606,45.449,29.879,16.311,6.669,1.149
"49","DNK","Denmark","2020",35.017,123.355,325.929,364.508,385.961,339.948,401.645,364.134,321.421,173.094,44.349,33.007,117.217,308.549,348.341,371.071,338.292,397.331,369.96,338.707,208.925,81.442
"50","DOM","Dominican Republic","2020",102.108,409.68,1006.492,965.786,868.151,704.089,562.697,418.447,237.478,106.138,37.14,97.883,393.158,967.272,932.407,872.176,702.983,584.964,443.017,260.247,126.058,49.533
