LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PE25,Ucayali,Peru,552.9170258,5.410185138,NA,302,5.89312762,9.673675229,15.2067205,365,4.977238666,8.170227001,12.84334604,14.02781195,59.95167015,65.3351131,62.57773989,-7.11316353,-5.99379867,-6.567131891
PE07,Callao,Peru,1119.096445,7669.772087,NA,302,8.638813575,9.54494945,15.00436753,365,7.287128858,8.051484845,12.65668701,18.65904856,63.90630561,68.88046272,66.33272371,-8.412184576,-7.331008312,-7.884781521
PE11,Ica,Peru,954.3642539,44.74736783,NA,302,8.318997984,9.447454372,14.85110826,365,7.022475928,7.975061545,12.53655193,18.58556967,63.2439699,68.40081343,65.75950333,-8.280934052,-7.18481374,-7.746241217
PE17,Madre de Dios,Peru,158.084038,1.853259523,NA,302,4.724832052,9.162810698,14.40365714,365,3.985222087,7.728493875,12.14895512,10.52066777,61.08305813,66.18154341,63.57012412,-7.161439618,-6.022618181,-6.605916965
PE15,Lima,Peru,10693.43489,307.0345139,NA,302,8.127970855,8.596102965,13.51280998,365,6.863931069,7.259260554,11.41133475,19.02149763,64.11867816,69.11588544,66.55634025,-7.71117313,-6.710241802,-7.222913946
PE24,Tumbes,Peru,252.0305573,53.97724605,NA,302,5.83610773,7.576154484,11.90948228,365,4.95971605,6.438464938,10.12106924,15.19848928,63.07948377,68.3653951,65.6579771,-6.389344766,-5.470700508,-5.941225616
PE18,Moquegua,Peru,197.5214462,12.55382121,NA,302,7.379364667,7.453399374,11.71651501,365,6.277799315,6.340782384,9.967515259,19.36845244,63.87839563,69.02091533,66.38694183,-6.757886201,-5.8834414,-6.331327761
PE23,Tacna,Peru,371.146283,23.08713751,NA,302,5.474046969,6.81928502,10.71970671,365,4.647763104,5.789943251,9.101613052,15.1494851,63.59342376,68.63678558,66.05360025,-5.978601099,-5.147423641,-5.573148681
PE20,Piura,Peru,2076.317853,58.22948477,NA,302,5.68529849,6.730473814,10.58009822,365,4.801288004,5.683948387,8.93499238,16.84732014,63.74127591,68.65801569,66.13968556,-5.765320091,-4.984688467,-5.384524177
PER,Peru,Cntry/Terr,32971.846,25.759,5.452,302,5.956530247,6.679405759,10.49982081,365,5.040512442,5.652221417,8.885118556,10.99760008,66.22157813,72.53499559,69.30129396,-8.063587638,-7.122534847,-7.604537496
PE04,Arequipa,Peru,1556.126869,24.5657477,NA,302,6.25070334,6.621360206,10.40857498,365,5.300339044,5.614640803,8.826042985,17.77347446,64.73487595,69.65810921,67.13645315,-6.308885382,-5.46584654,-5.897646923
PE14,Lambayeque,Peru,1340.72463,92.59454942,NA,302,6.01724374,6.414558055,10.08348835,365,5.107685684,5.44494253,8.559282509,17.60391752,64.61777084,69.5424594,67.02005794,-6.182870353,-5.359926203,-5.781434182
PE12,Junin,Peru,1393.373182,31.43268443,NA,302,5.246891198,6.197146715,9.741724396,365,4.44748046,5.252956062,8.257485674,17.53309286,62.38136699,67.48508661,64.87098632,-5.198992208,-4.389461559,-4.804099208
PE16,Loreto,Peru,981.1696183,2.660631859,NA,302,3.902357045,5.894557938,9.266064129,365,3.269567198,4.938721153,7.763518044,13.37496498,63.19466791,68.05624539,65.56616912,-4.772969057,-3.982501066,-4.387374915
PE13,La Libertad,Peru,1990.97033,78.07757404,NA,302,4.683354839,5.231317706,8.223470844,365,3.98047117,4.446195095,6.989282201,16.40076237,65.31159106,70.19374708,67.69313058,-5.17045026,-4.46762669,-4.827609494
PE19,Pasco,Peru,284.5809415,11.37148409,NA,302,3.873244814,5.223221515,8.210743879,365,3.289046677,4.43540757,6.972324543,14.74705607,62.83319091,67.95566861,65.33196052,-4.501394507,-3.835946701,-4.176785821
PE02,Ancash,Peru,1216.094852,33.88403182,NA,302,5.122274939,5.045307778,7.931068947,365,4.377947978,4.312165054,6.77859109,19.72566696,64.353028,69.44362839,66.8362477,-4.776923359,-4.05780986,-4.426136286
PE08,Cusco,Peru,1350.177422,18.75598094,NA,302,3.805276202,4.574502823,7.19097801,365,3.209207863,3.85794083,6.064564554,16.55013275,62.83205931,67.6775521,65.19571433,-3.807891831,-3.162968469,-3.493295069
MX03,Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,302,2.643286549,4.102690399,6.449303363,365,2.459397428,3.81727294,6.00063588,7.283841548,67.17875045,74.09916838,70.55456407,-5.714036554,-5.033901624,-5.382263417
PE10,Huanuco,Peru,804.8043386,21.59634266,NA,302,3.31284503,4.132565455,6.496266033,365,2.845412096,3.54947232,5.579661525,15.40869184,63.82959252,68.54845926,66.13147873,-3.764987931,-3.174852585,-3.47711703
PE22,San Martin,Peru,909.6110642,17.73533424,NA,302,2.935120279,4.131187548,6.494100007,365,2.510963301,3.534185769,5.555631536,13.23459178,63.88489826,68.83140084,66.29782635,-3.617655851,-3.040368739,-3.336052382
PE03,Apurimac,Peru,453.9513999,21.72455956,NA,302,3.591604537,3.73417219,5.870004051,365,3.08843634,3.211030884,5.047641978,19.28954787,63.59873583,68.03640223,65.76345115,-3.222112176,-2.665436869,-2.950563245
BR41,Parana,Brazil,11565.20767,58.02943764,NA,302,3.394913598,3.507128474,5.5130983,365,3.062028889,3.163240653,4.972517201,NA,NA,NA,NA,NA,NA,NA
PE21,Puno,Peru,1316.37493,18.28323907,NA,302,3.450349547,3.655152136,5.745786952,365,2.910265087,3.083009853,4.846396847,17.9252891,63.33540511,67.96600322,65.59423346,-3.227671171,-2.704779077,-2.972601857
PRY,Paraguay,Cntry/Terr,7132.53,17.953,5.476,302,2.369084494,3.432033221,5.395050868,365,2.100376725,3.042763023,4.783130066,7.78652301,67.76997695,72.74870054,70.1986226,-4.557572502,-3.740629722,-4.159063829
PE01,Amazonas,Peru,423.381312,10.78702412,NA,302,2.866077633,3.5516012,5.58300806,365,2.439880955,3.023464553,4.752793463,15.59697401,64.0775964,68.44509266,66.20808238,-3.060507696,-2.449928556,-2.762664213
MX23,Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,302,1.622345176,3.237164613,5.088723398,365,1.497926681,2.988904776,4.698466554,5.501368042,68.00947173,74.63274316,71.24033585,-4.634037267,-4.003689836,-4.326550715
