"","LocID","Location","MidPeriod","Sex","0m1","4m1","10m5","10m15","10m25","10m35","10m45","10m55","10m65","10m75","m85+","0p1","4p1","10p5","10p15","10p25","10p35","10p45","10p55","10p65","10p75"
"1","AFG","Afghanistan","2020.5","Male",0.0544573246088072,0.00376281273471863,0.00115156537478563,0.00206438204938737,0.00264281143776204,0.00422558717450571,0.00901083687374604,0.0209870712316458,0.0492090118151528,0.116545655535454,0.261823328901781,0.94783941796497,0.985090713701451,0.988556118871116,0.979544358947811,0.97390449472529,0.95853228233132,0.913322156890501,0.808113006990626,0.599947730733991,0.278035907416436
"2","ALB","Albania","2020.5","Male",0.00826558417294462,0.00081845404546325,0.000250923724898661,0.000460370757959853,0.000700017125835022,0.00151231743689685,0.00354087873646545,0.00837007831059898,0.021647184070283,0.068927636191662,0.203387313689139,0.991797515052069,0.996732417067718,0.997493710189832,0.995406258360365,0.993022387498752,0.984979230577133,0.965127349580368,0.919297679245311,0.802215008976083,0.475500409118526
"3","DZA","Algeria","2020.5","Male",0.023212570265743,0.000933743088847873,0.000457269898976236,0.000804725568171101,0.00111486109977206,0.00169331677610634,0.00361686974538098,0.00883523285910019,0.0217727162202091,0.0613312839256147,0.170253030214638,0.977259442197303,0.996273438657239,0.995437934745191,0.991981613042997,0.98891127934598,0.983195847189419,0.964387698134128,0.914882123883785,0.801149602633111,0.522325876073954
"4","AGO","Angola","2020.5","Male",0.0661125552181363,0.00506448416125815,0.00169466007775928,0.00323284860337794,0.00441766363005854,0.00681700718235008,0.0130286729754108,0.0273679877070369,0.0599120581769646,0.130892315732469,0.269435637912569,0.937119142611867,0.979999402744663,0.98320720800924,0.968131966074694,0.956749260960731,0.933928119767145,0.877066709321921,0.757208010826643,0.537144543180097,0.242006054043081
"5","ATG","Antigua and Barbuda","2020.5","Male",0.00541160146941507,0.000539016741105932,0.000190440134278738,0.00081897289289679,0.00102335662632294,0.00186314574983423,0.00479698557843961,0.0117572414950167,0.0254677076344247,0.0654330498513046,0.175338826599289,0.994616077701969,0.997846676249276,0.998097379340451,0.991839466703208,0.989816292448537,0.98151759185957,0.952983094448177,0.888309031987706,0.771414772995923,0.500746469499426
"6","AZE","Azerbaijan","2020.5","Male",0.0227613692465933,0.00118918188727702,0.000444144495749848,0.00108661080939893,0.00123559117174394,0.00214383621234013,0.00559164262105969,0.015630273865602,0.0411563759590458,0.103444319311267,0.240499734179025,0.977692435437137,0.995256884668733,0.995568637367093,0.989187777962658,0.987717188649749,0.978760793748097,0.945365304608638,0.853539565001258,0.653295326621471,0.324226900506317
"7","ARG","Argentina","2020.5","Male",0.0103541829209905,0.000423105527151005,0.000221663328930719,0.00129608678952658,0.00154255786458283,0.0021199258006739,0.00507226204091801,0.0140300516347083,0.0328074562531396,0.0762855312309408,0.189592562207508,0.989743980328183,0.998309288520789,0.997785636024287,0.987111398702612,0.984690837612419,0.979001606141982,0.950329051883874,0.867833213092465,0.714994745711809,0.444169517140778
"8","AUS","Australia","2020.5","Male",0.00313900055070766,0.000147648656294766,8.65251973427196e-05,0.000438189146217122,0.000683593057150829,0.00116935367453772,0.00243270719666726,0.0055599109309819,0.0140966523991901,0.0432744492077508,0.156041177340924,0.996870255810016,0.999409611257798,0.999135112912782,0.995626351519905,0.993185638440686,0.988367753444575,0.975928258148986,0.945711619555502,0.867069936052428,0.635485870925671
"9","AUT","Austria","2020.5","Male",0.00297411896069876,0.000148210893900551,8.39936161739679e-05,0.000501585611364809,0.000582624830372901,0.00111041587019806,0.00306674787911876,0.00846348919202814,0.0200075008966258,0.0516924952982741,0.173301312271929,0.997034356138535,0.999407378178247,0.999160393757171,0.994995399546819,0.994189575590882,0.98894881034188,0.969717821488173,0.918325342024624,0.816510364825131,0.579790002216502
"10","BHS","Bahamas","2020.5","Male",0.00601743365388582,0.000340716761594583,0.000251383561865238,0.00129617078817909,0.00194398328778685,0.00347136866019337,0.00768773674827207,0.0165947316755386,0.0352462467959062,0.0811957459351606,0.194009187489846,0.994016355342597,0.998638239313797,0.99748927218845,0.987107747291246,0.980737171940918,0.965809759433555,0.925631508630843,0.845637295425132,0.696891600339653,0.42118925440263
"11","BHR","Bahrain","2020.5","Male",0.00625406999770325,0.000440120186115962,0.000226863022794496,0.000585249219480365,0.000601970295443404,0.0009185069290014,0.00231277564764773,0.00876323055958077,0.0288126404085233,0.0846024693956307,0.209307877558663,0.9937824654966,0.998241350243456,0.99773387531605,0.994163614338963,0.993997709887266,0.990851310833706,0.977096142399773,0.915291012335382,0.743750155737436,0.400833092115306
"12","BGD","Bangladesh","2020.5","Male",0.0268829171285972,0.00137283511865741,0.000674972714615009,0.00105661871242157,0.00114605360606784,0.00225711701304958,0.0057951505634819,0.0151800028651767,0.0368984262852418,0.0826583799170464,0.183118870546273,0.973742205493836,0.994526872125933,0.993273691081289,0.989486688386579,0.98859909515166,0.977648992167894,0.943424590099195,0.857502825531502,0.683291649186767,0.414995832085598
"13","ARM","Armenia","2020.5","Male",0.0112866481238911,0.000658040495753886,0.000284473229570126,0.000967284065494653,0.00101459281846105,0.00249371201437,0.00735680476938397,0.0172046188489277,0.0380575121068885,0.0949223044579407,0.215925012081485,0.988830221932882,0.997371962562644,0.997158892752494,0.990372598076083,0.989901201280943,0.975307040738998,0.928648781366404,0.840183063428463,0.676034953046595,0.360445088919103
