Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
World,Global,7794798.729,59.917,7.546,244,0.520864523,0.675780314,0.925501301,365,0.470530943,0.610476496,0.836065774,8.212259564,69.56638313,74.46349967,71.95522047,-0.793537569,-0.694016815,-0.74499086
Afghanistan,Cntry/Terr,38928.341,59.627,6.517,244,0.189330118,0.811168762,1.11091982,365,0.146654079,0.628326911,0.860512449,6.401955158,63.15126761,66.33635716,64.70496983,-0.499649564,-0.3539851,-0.428593728
Albania,Cntry/Terr,2877.8,105.029,7.821,244,0.684586302,0.59380555,0.813234416,365,0.763430398,0.662194389,0.906894971,9.230225781,76.06219094,79.55661176,77.76678646,-1.037183702,-0.734280044,-0.88942582
Algeria,Cntry/Terr,43851.043,18.411,4.719,244,0.0857266,0.146227112,0.200262393,365,0.085288735,0.14548023,0.199239515,4.948210068,75.58555765,78.12846977,76.82600259,-0.256617317,-0.170694256,-0.214703628
Andorra,Cntry/Terr,77.265,164.394,NA,244,0.890590506,NA,1.719995543,365,0.996570245,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Angola,Cntry/Terr,32866.268,26.363,8.332,244,0.036958018,0.178202816,0.244054073,365,0.033590671,0.161966266,0.221817633,7.894361318,58.53580634,64.17372349,61.28600983,-0.101803223,-0.083971915,-0.093105024
Antigua and Barbuda,Cntry/Terr,97.928,222.564,6.344,244,0.595745486,0.753986756,1.032607356,365,0.418674945,0.52988293,0.725690481,7.022051899,75.12143745,77.70815336,76.38325009,-0.843032005,-0.536014515,-0.693267376
Argentina,Cntry/Terr,45195.777,16.515,7.612,244,2.269448486,2.442607053,3.34522323,365,2.266826832,2.439785366,3.341358846,9.980053994,70.4804262,77.24311577,73.77929916,-2.923824357,-2.863403886,-2.894350957
Armenia,Cntry/Terr,2963.234,104.083,9.905,244,1.020242483,1.063793966,1.456897572,365,1.335365347,1.392368601,1.906890338,10.84777954,69.98974324,77.2467873,73.52976474,-1.474620228,-1.350908442,-1.414273015
Aruba,Cntry/Terr,106.766,593.144,8.974,244,1.359069919,1.255902209,1.719995543,365,1.245714928,1.151152054,1.576537081,10.80168477,72.52621815,77.54598743,74.97488609,-1.381527755,-1.219453205,-1.302466999
Australia,Cntry/Terr,25499.881,3.319,6.598,244,0.006042298,0.004385726,0.006006382,365,0.010784364,0.007827695,0.010720262,6.878331217,81.62242555,85.49269925,83.51036394,-0.018562655,-0.0155379,-0.017087164
Austria,Cntry/Terr,9006.4,109.289,9.873,244,0.755723981,0.451638778,0.618532781,365,1.114429739,0.666009943,0.912120487,11.09852176,78.12749338,82.92936563,80.46987009,-1.244411641,-1.045781631,-1.147518953
Azerbaijan,Cntry/Terr,10139.175,122.664,6.752,244,0.441872777,0.727639101,0.996523457,365,0.502506368,0.827485424,1.133265974,7.396050952,69.68469026,74.87415917,72.21613851,-0.84954507,-0.688355603,-0.770916062
Bahamas,Cntry/Terr,393.248,39.286,6.714,244,0.699929565,1.060853068,1.452869925,365,0.773049068,1.171677147,1.604646807,7.878850438,70.34611208,75.14590827,72.68747607,-1.366011788,-1.046596226,-1.210199319
Bahrain,Cntry/Terr,1701.583,2238.925,2.382,244,0.910771968,2.606298066,3.569402956,365,0.704050287,2.014735813,2.759240802,3.167622073,73.92507493,76.69006662,75.27385136,-2.633889288,-1.856034686,-2.254448019
Bangladesh,Cntry/Terr,164689.383,1265.187,5.548,244,0.169273953,0.333793949,0.457140771,365,0.132443267,0.261166945,0.357675922,5.763395405,70.80329639,74.56067026,72.63616169,-0.328976347,-0.281997907,-0.306060035
Barbados,Cntry/Terr,287.371,668.305,8.98,244,0.223835288,0.154386292,0.211436633,365,0.149632357,0.103206179,0.141343941,9.36004257,77.74518846,80.43672156,79.05813143,-0.233352943,-0.161956934,-0.198525621
Belarus,Cntry/Terr,9449.321,46.569,12.554,244,0.372973282,0.302674674,0.414521996,365,0.326372657,0.264857411,0.362730126,12.99284739,69.47151492,79.31418574,74.27281776,-0.251829405,-0.301634733,-0.276124687
Belgium,Cntry/Terr,11589.616,382.748,9.794,244,0.755332739,0.449425374,0.615501457,365,1.335764705,0.794784234,1.088480719,11.28866413,78.01310706,82.70793805,80.30326852,-1.491830859,-1.287887898,-1.392346488
Belize,Cntry/Terr,397.621,17.432,4.702,244,0.428882747,0.885107905,1.212181682,365,0.877720241,1.811397471,2.480762877,5.822400979,69.26579193,75.75665034,72.43206432,-2.514861442,-2.156192621,-2.339901042
Benin,Cntry/Terr,12123.198,107.513,8.959,244,0.0103649,0.036751508,0.050332287,365,0.007258811,0.025738043,0.035249017,8.603679038,60.46489266,63.61538667,62.00171901,-0.021527236,-0.014846349,-0.018268267
Bermuda,Cntry/Terr,62.273,1245.46,NA,244,0.576520151,NA,1.719995543,365,0.401458096,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),Cntry/Terr,11673.029,10.775,6.785,244,1.190131415,1.813925347,2.484224878,365,1.127727859,1.718813671,2.353966601,8.076498294,66.45358451,72.5131972,69.40949314,-2.429255167,-2.181889466,-2.308588971
Bosnia and Herzegovina,Cntry/Terr,3280.815,64.33,10.614,244,2.62310497,1.996336754,2.734042741,365,2.794122802,2.126491356,2.912293352,13.91982309,72.44270509,77.78472951,75.04857066,-2.615705843,-2.196349048,-2.411141553
Botswana,Cntry/Terr,2351.625,4.149,5.802,244,1.411537017,3.915834731,5.362852487,365,0.958911391,2.660177157,3.643191979,6.900875583,64.13998431,70.31183523,67.15064329,-2.234912524,-1.964582363,-2.103044153
Brazil,Cntry/Terr,212559.409,25.431,6.417,244,2.712729736,3.375975873,4.623499674,365,2.144336975,2.668614493,3.654747162,8.931065232,68.96710511,76.34039424,72.56383151,-3.481761155,-3.363739873,-3.424189798
Acre,Brazil,892.0587535,5.435274239,NA,244,1.708770599,2.126554753,2.912380176,365,1.336234856,1.662936257,2.277440815,NA,NA,NA,NA,NA,NA,NA
Alagoas,Brazil,3375.666603,121.2380432,NA,244,1.587779898,1.975982552,2.706167055,365,1.232941664,1.5343885,2.101390827,NA,NA,NA,NA,NA,NA,NA
Amapa,Brazil,855.4391669,6.004313832,NA,244,1.797657794,2.237174333,3.063876992,365,1.500983413,1.867964847,2.558233585,NA,NA,NA,NA,NA,NA,NA
Amazonas,Brazil,4192.172931,2.688724518,NA,244,2.998102841,3.731120989,5.109881506,365,2.351763671,2.926755771,4.008279344,NA,NA,NA,NA,NA,NA,NA
Bahia,Brazil,15043.79227,26.6374759,NA,244,1.726018294,2.148019405,2.941776658,365,1.391803319,1.732090875,2.372150128,NA,NA,NA,NA,NA,NA,NA
Ceara,Brazil,9236.905347,62.03660315,NA,244,2.271325699,2.826651198,3.871183144,365,1.680432939,2.091288705,2.864082272,NA,NA,NA,NA,NA,NA,NA
Distrito Federal,Brazil,3049.880335,529.4211456,NA,244,2.842324631,3.537255942,4.844377541,365,2.430587166,3.024851137,4.142623874,NA,NA,NA,NA,NA,NA,NA
Espirito Santo,Brazil,4064.780182,88.22200692,NA,244,2.639774349,3.285183331,4.49915658,365,2.222014376,2.765283553,3.787138323,NA,NA,NA,NA,NA,NA,NA
Goias,Brazil,7098.917858,20.86669134,NA,244,3.292117444,4.097020397,5.610991661,365,2.688156193,3.345394245,4.581617223,NA,NA,NA,NA,NA,NA,NA
Maranhao,Brazil,7156.397176,21.70959169,NA,244,1.156144882,1.438815365,1.970500567,365,0.915684225,1.139563521,1.560666239,NA,NA,NA,NA,NA,NA,NA
Mato Grosso,Brazil,3524.464271,3.902166609,NA,244,3.727801756,4.639226908,6.353559655,365,2.948816955,3.669785,5.025880039,NA,NA,NA,NA,NA,NA,NA
Mato Grosso do Sul,Brazil,2810.886048,7.870421945,NA,244,3.747090156,4.663231206,6.386434257,365,3.008304091,3.743816383,5.127268228,NA,NA,NA,NA,NA,NA,NA
Minas Gerais,Brazil,21411.78807,36.50642275,NA,244,2.870270467,3.572034367,4.892007631,365,2.213500332,2.754687876,3.772627227,NA,NA,NA,NA,NA,NA,NA
Para,Brazil,8701.617498,6.984365885,NA,244,1.592753151,1.982171735,2.714643326,365,1.176562863,1.464225421,2.005300397,NA,NA,NA,NA,NA,NA,NA
Paraiba,Brazil,4064.251178,71.97537961,NA,244,2.029869016,2.526159806,3.459651218,365,1.64507549,2.047286573,2.803820039,NA,NA,NA,NA,NA,NA,NA
Parana,Brazil,11565.20767,58.02943764,NA,244,3.819040094,4.752772472,6.509063692,365,2.944261873,3.664116227,5.018116485,NA,NA,NA,NA,NA,NA,NA
Pernambuco,Brazil,9666.776852,98.57230271,NA,244,1.505530465,1.873623626,2.565983453,365,1.216951646,1.514489018,2.074137893,NA,NA,NA,NA,NA,NA,NA
Piaui,Brazil,3310.800453,13.15080348,NA,244,1.856096138,2.309900502,3.163477649,365,1.537392565,1.913275818,2.620288313,NA,NA,NA,NA,NA,NA,NA
Rio de Janeiro,Brazil,17463.1277,399.1533089,NA,244,3.16318822,3.936568752,5.391248346,365,2.637729093,3.282638022,4.495670704,NA,NA,NA,NA,NA,NA,NA
Rio Grande do Norte,Brazil,3547.108252,67.16786564,NA,244,1.802449532,2.243137622,3.072043894,365,1.406497813,1.750378086,2.397195008,NA,NA,NA,NA,NA,NA,NA
Rio Grande do Sul,Brazil,11507.83861,40.85035953,NA,244,3.292251666,4.097187435,5.611220426,365,2.65983918,3.310153893,4.533354509,NA,NA,NA,NA,NA,NA,NA
Rondonia,Brazil,1797.625809,7.560507202,NA,244,3.878670135,4.8269817,6.610695444,365,2.955565042,3.678182952,5.037381286,NA,NA,NA,NA,NA,NA,NA
Roraima,Brazil,612.7145454,2.739680481,NA,244,2.834503957,3.527523159,4.831048205,365,2.196781536,2.733881434,3.744132185,NA,NA,NA,NA,NA,NA,NA
Santa Catarina,Brazil,7247.032777,75.7022981,NA,244,2.776291714,3.455078372,4.731832908,365,2.256233758,2.807869369,3.845460868,NA,NA,NA,NA,NA,NA,NA
Sao Paulo,Brazil,46446.15489,187.1172831,NA,244,3.192347675,3.972857519,5.440946896,365,2.474499779,3.079500121,4.217467287,NA,NA,NA,NA,NA,NA,NA
Sergipe,Brazil,2325.082788,106.0450547,NA,244,2.256961764,2.808775367,3.846701661,365,1.769829454,2.202542131,3.016447158,NA,NA,NA,NA,NA,NA,NA
Tocantins,Brazil,1590.920967,5.733735278,NA,244,2.302731053,2.865734973,3.92470954,365,1.867471773,2.324057412,3.18286596,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,Cntry/Terr,30.237,201.58,NA,244,1.781011973,NA,1.719995543,365,1.190594305,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,Cntry/Terr,437.483,83.014,4.403,244,0.02051602,0.039393892,0.053951111,365,0.013714819,0.026334547,0.036065948,4.768960828,74.80746269,77.22774965,75.98809048,-0.041708273,-0.02668827,-0.034381442
Bulgaria,Cntry/Terr,6948.445,64.006,15.382,244,2.437035417,1.539011289,2.107721875,365,2.624759928,1.657561123,2.270079408,18.18942329,69.97067665,77.19618991,73.49531726,-1.72183543,-1.571148792,-1.648329753
Burkina Faso,Cntry/Terr,20903.278,76.401,8.274,244,0.006154419,0.029127866,0.039891482,365,0.005549369,0.02626426,0.035969688,7.780007242,61.05622258,62.6638258,61.84041927,-0.018713367,-0.011841776,-0.015361372
Burundi,Cntry/Terr,11890.781,463.037,8.042,244,0.004528925,0.021275448,0.029137361,365,0.003111654,0.014617561,0.020019185,7.666333511,60.01430392,63.66345512,61.79437768,-0.01106938,-0.00795125,-0.009548341
