LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2022,CCDR_2022,CCMR_2022,ISCDR_2022,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
WWW,World,World,7794798.729,59.917,7.546,365,0.36897971,0.447972856,0.619273536,365,0.449499996,0.545731355,0.754413982,8.183968611,69.56774313,74.47538569,71.96171511,-0.792177571,-0.682130802,-0.73849622
AFG,Afghanistan,Cntry/Terr,38928.341,59.627,6.517,33,0.017331768,0.061770035,0.085390325,365,0.128954892,0.459592361,0.635336233,6.381740478,63.22243951,66.37574626,64.76063793,-0.428477656,-0.314596007,-0.372925632
ALB,Albania,Cntry/Terr,2877.8,105.029,7.821,33,0.515018838,0.427577021,0.591078522,365,0.693585378,0.575825868,0.796016358,9.14409583,76.09342037,79.56653971,77.78762493,-1.005954272,-0.724352098,-0.868587358
DZA,Algeria,Cntry/Terr,43851.043,18.411,4.719,33,0.081218482,0.126471456,0.174832971,365,0.08465021,0.131815259,0.182220196,4.945997032,75.58998017,78.12844617,76.82825627,-0.252194801,-0.170717861,-0.212449952
AND,Andorra,Cntry/Terr,77.265,164.394,NA,33,0.71575785,NA,1.482406555,365,0.582411182,1.082632681,1.496621412,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,32866.268,26.363,8.332,33,0.044085912,0.175254984,0.24227087,365,0.043540082,0.173085143,0.239271302,7.9032993,58.50946945,64.14881076,61.26036765,-0.128140115,-0.108884645,-0.118747203
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.564,6.344,33,0.903570465,1.053447674,1.456276329,365,1.235601667,1.440553618,1.991408007,7.808304673,73.5910869,76.65302494,75.08471521,-2.373382553,-1.591142931,-1.99180225
ARG,Argentina,Cntry/Terr,45195.777,16.515,7.612,33,1.068720794,1.114285113,1.540377442,365,1.635374031,1.705097297,2.357110744,9.311777821,71.01402992,77.79664389,74.3226221,-2.390220636,-2.309875759,-2.351028013
ARM,Armenia,Cntry/Terr,2963.234,104.083,9.905,33,0.328469953,0.324207132,0.448180943,365,1.68363349,1.661783611,2.297234306,11.14507438,69.48040457,76.76938047,73.03600257,-1.983958902,-1.828315279,-1.908035183
ABW,Aruba,Cntry/Terr,106.766,593.144,8.974,33,1.243160489,1.072349874,1.482406555,365,1.255081206,1.082632681,1.496621412,10.77854196,72.42829431,77.46990138,74.88761483,-1.479451591,-1.295539254,-1.389738256
